#         :::::,0     ,1     ,2     ,3     ,4     ,5     ,6     ,7     ,8     ,9     ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23    ,24    ,25    ,26    ,27    ,28    ,29, 30,  31,    32, 33
#             ,      ,n     ,a     ,ssa   ,sta   ,*n    ,lla   ,lta   ,lle   ,na    ,ksi   ,tta   ,t     ,en    ,a     ,issa  ,ista  ,in    ,illa  ,ilta  ,ille  ,ina   ,iksi  ,itta  ,in    ,en    ,iden  ,itten ,in    ,ten, in,  ihin, a,  ita
22  buffet      ,      ,      ,'t    ,      ,      ,'h_   ,      ,      ,      ,'     ,      ,      ,      ,'     ,'     ,      ,      ,'     ,      ,      ,      ,'     ,      ,     ,      ,i     ,!     ,!     ,!     ,!   ,?   , e,  , ?  ,'
23  lohi        ,      ,-e    ,-t    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,!   ,    , ?   ,    ,? 
24  uni         ,      ,-e    ,-t    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,-   ,    , ?   ,    ,?
25  liemi       ,      ,-e    ,--nt  ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,--n ,    , -e  ,    ,?
26  veri        ,      ,-e    ,-t    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,-   ,    , -   ,    ,?
27  mesi        ,      ,--de  ,--tt  ,--de  ,--de  ,--te  ,--de  ,--de  ,--de  ,--te  ,--de  ,--de  ,--de  ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,--t ,    , -   ,    ,? 
28  jälsi       ,      ,*-e  ,--tt  ,*-e   ,*-e   ,--te  ,*-e   ,*-e   ,*-e   ,--te   ,*-e   ,*-e   ,*-e   ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,--t ,    , -e  ,    ,?
29  lapsi       ,      ,-e    ,---st ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,---s,    ,-    ,    ,?
30  peitsi      ,      ,-e    ,---st ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,---s,    ,-    ,    ,? 
31  yksi        ,      ,--hde ,---ht ,--hde ,--hde ,--hte ,--hde ,--hde ,--hde ,--hte ,--hde ,--hde ,--hde ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,      ,!     ,!     ,!     ,!   ,    ,     ,    ,?
32  tytär       ,      ,e     ,t     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,i     ,i     ,      ,      ,i     ,      ,      ,      ,      ,      ,     ,      ,i     ,!     ,!     ,!     ,    ,i   ,     , i   , ?
33  asetin      ,n      ,me    ,nt    ,me    ,me    ,me    ,me    ,me    ,me    ,me    ,me    ,me    ,me    ,nt    ,mi    ,m     ,m     ,mi    ,m     ,m     ,m     ,m     ,m     ,m    ,m     ,mi    ,!     ,!     ,!     ,n   ,mi  , ?   , mi , ?  
34  hapan       ,n      ,ma    ,nt    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,mi    ,mi    ,m     ,m     ,mi    ,m     ,m     ,m     ,m     ,m     ,m    ,m     ,mi    ,!     ,!     ,!     ,n   ,mi  , m   , mi , ?
35  lämmin      ,n      ,ma    ,nt    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,ma    ,mi    ,mi    ,m     ,m     ,mi    ,m     ,m     ,m     ,m     ,m     ,m    ,m     ,mi    ,!     ,!     ,!     ,    ,mi  , m   , mi , ?
36  alin        ,n      ,mma   ,nt    ,mma   ,mma   ,mpa   ,mma   ,mma   ,mma   ,mpa   ,mma   ,mma   ,mma   ,mpi   ,mpi   ,mm    ,mm    ,mpi   ,mm    ,mm    ,mm    ,mp    ,mm    ,mm   ,mm    ,mpi   ,!     ,!     ,mpa   ,    ,mpi ,mp   , mpi, ? 
37  vasen       ,n      ,mma   ,nt    ,mma   ,mma   ,mpa   ,mma   ,mma   ,mma   ,mpa   ,mma   ,mma   ,mma   ,mpi   ,mpi   ,mm    ,mm    ,mpi   ,mm    ,mm    ,mm    ,mp    ,mm    ,mm   ,mm    ,mpi   ,!     ,!     ,mpa   ,n   ,mpi , mp   , mpi, ?
38  öinen       ,nen   ,se    ,st    ,se    ,se    ,se    ,se    ,se    ,se    ,se    ,se    ,se    ,se    ,st    ,si    ,s     ,s     ,si    ,s     ,s     ,s     ,s     ,s     ,s    ,s     ,si    ,!     ,!     ,!     ,s   ,si  , s    , si  , ?  
39  ajos        ,s      ,kse   ,st    ,kse   ,kse   ,kse   ,kse   ,kse   ,kse   ,kse   ,kse   ,kse   ,kse   ,ksi   ,ksi   ,ks    ,ks    ,ksi   ,ks    ,ks    ,ks    ,ks    ,ks    ,ks   ,ks    ,ksi   ,!     ,!     ,!     ,s   ,ksi , ks   , ksi , ?
40  etuus       ,s      ,de    ,tt    ,de    ,de    ,te    ,de    ,de    ,de    ,te    ,de    ,de    ,de    ,ksi   ,ksi   ,ks    ,ks    ,ksi   ,ks    ,ks    ,ks    ,ks    ,ks    ,ks   ,ks    ,ksi   ,!     ,!     ,!     ,!   ,ksi , ks   , ksi  ,?
41  rakas       ,s     ,_     ,st    ,_     ,_     ,_se   ,_     ,_     ,_     ,_     ,_     ,_     ,_     ,id    ,it    ,      ,      ,isi   ,      ,      ,      ,      ,      ,     ,      ,!     ,      ,      ,!     ,!   ,isi ,      , ?   , 
42  mies        ,      ,he    ,st    ,he    ,he    ,he    ,he    ,he    ,he    ,he    ,he    ,he    ,he    ,hi    ,hi    ,h     ,h     ,hi    ,h     ,h     ,h     ,h     ,h     ,h    ,h     ,hi    ,!     ,!     ,!     ,s   ,hi  , ?    , hi  ,?
43  immyt       ,t     ,e     ,tt    ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,e     ,id    ,it    ,      ,      ,isi   ,      ,      ,      ,      ,      ,     ,      ,!     ,      ,      ,!     ,!   ,isi ,      , ?   ,
44  kevät       ,t     ,a     ,tt    ,a     ,a     ,ase   ,a     ,a     ,a     ,a     ,a     ,a     ,a     ,id    ,it    ,      ,      ,isi   ,      ,      ,      ,      ,      ,     ,      ,!     ,      ,      ,!     ,!   ,isi ,      , ?   ,
45  sadas       ,s     ,nne   ,tt    ,nne   ,nne   ,nte   ,nne   ,nne   ,nne   ,nte   ,nne   ,nne   ,nne   ,nsi   ,nsi   ,ns    ,ns    ,nsi   ,ns    ,ns    ,ns    ,ns    ,ns    ,ns   ,ns    ,nsi   ,!     ,!     ,!     ,!   ,nsi ,ns    , nsi  ,?
46  tuhat       ,t     ,nne   ,tt    ,nne   ,nne   ,nte   ,nne   ,nne   ,nne   ,nte   ,nne   ,nne   ,nne   ,nsi   ,nsi   ,ns    ,ns    ,nsi   ,ns    ,ns    ,ns    ,ns    ,ns    ,ns   ,ns    ,nsi   ,!     ,!     ,!     ,n   ,nsi ,ns    , nsi  , ?
47  mennyt      ,t     ,-ee   ,tt    ,-ee   ,-ee   ,-eese ,-ee   ,-ee   ,-ee   ,-ee   ,-ee   ,-ee   ,-ee   ,-eid  ,-eit  ,-e    ,-e    ,-eisi ,-e    ,-e    ,-e    ,-e    ,-e    ,-e   ,-e    ,!     ,-e    ,-e    ,!     ,!   ,-eisi,-e   , ?   , -e
48  hake        ,      ,e     ,tt    ,_     ,_     ,_se   ,_     ,_     ,_     ,_     ,_     ,_     ,_     ,id    ,it    ,      ,      ,isi   ,      ,      ,      ,      ,      ,     ,      ,!     ,      ,      ,!     ,!   ,-eisi,-e   , ?   ,
49  kinner      ,      ,e     ,t     ,ee    ,ee    ,eese  ,ee    ,ee    ,ee    ,ee    ,ee    ,ee    ,ee    ,e     ,i     ,      ,      ,i     ,      ,      ,      ,      ,      ,     ,      ,i     ,e     ,e     ,!     ,    ,i   , e    , i   ,e
