
52=,.a,.a,.n*,.t*,..,.mme*,.tte*,.vat,*,.ta*,taan*,nut,imme,itte,ivat,in*,it*,i,ttu*,ttiin*,aksemme,aksenne,akseni,aksesi,akseen/aksensa,ttaman*,essa,en,ttaessa*,matta,malla,masta,maan,massa,man,matta,malla,mista,masta,man,maan,massa,ma,nut,tut*,ttu*,vat,va,ttava*,maisillaan/maisillansa,maisillamme,maisillanne,maisillani,maisillasi,isi,isimme,isitte,isivat,isin,isit,isi,ttaisiin*,kaamme,kaa,koot,*,koon,ttakoon*,minen,mista,nemme,nette,nevat,nen,net,nee
63=,da,da,n,t,,mme,tte,vat,,da,daan,nut,mme*,tte*,vat*,n*,t*,*,tu,tiin,daksemme,daksenne,dakseni,daksesi,dakseen/daksensa,taman,dessa,den,taessa,matta,malla,masta,maan,massa,man,matta,malla,mista,masta,man,maan,massa,ma,nut,dut,tu,vat,va,tava,maisillansa/maisillaan,maisillamme,maisillanne,maisillani,maisillasi,si*,simme*,sitte*,sivat*,sin*,sit*,si*,taisiin,kaamme,kaa,koot,,koon,takoon,minen,mista,nemme,nette,nevat,nen,net,nee
64=,da,da,n,t,,mme,tte,vat,,da,daan,nut,mme*,tte*,vat*,n*,t*,*,tu,tiin,daksemme,daksenne,dakseni,daksesi,dakseen/daksensa,taman,dessa,den,taessa,matta,malla,masta,maan,massa,man,matta,malla,mista,masta,man,maan,massa,ma,nut,dut,tu,vat,va,tava,maisillaan/maisillansa,maisillamme,maisillanne,maisillani,maisillasi,si*,simme*,sitte*,sivat*,sin*,sit*,si*,taisiin,kaamme,kaa,koot,,koon,takoon,minen,mista,nemme,nette,nevat,nen,net,nee
65=,da,da,n,t,,mme,tte,vat,,da,daan,nut,-vimme,-vitte,-vivat,-vin,-vit,-vi,tu,tiin,daksemme,daksenne,dakseni,daksesi,dakseen/daksensa,taman,dessa,den,taessa,matta,malla,masta,maan,massa,man,matta,malla,mista,masta,man,maan,massa,ma,nut,dut,tu,vat,va,tava,maisillansa/maisillaan,maisillamme,maisillanne,maisillani,maisillasi,-visi,-visimme,-visitte,-visivat,-visin,-visit,-visi,taisiin,kaamme,kaa,koot,,koon,takoon,minen,mista,nemme,nette,nevat,nen,net,nee
66=,ta,ta,en*,et*,ee*,emme*,ette*,evat*,e*,ta,taan,sut,imme*,itte*,ivat*,in*,it*,i*,tu,tiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,taman,tessa,ten,taessa,ematta*,emalla*,emasta*,emaan*,emassa*,eman*,ematta*,emalla*,emista*,emasta*,eman*,emaan*,emassa*,ema*,sut,tut,tu,evat*,eva*,tava,emaisillansa/emaisillaan*,emaisillamme*,emaisillanne*,emaisillani*,emaisillasi*,isi*,isimme*,isitte*,isivat*,isin*,isit*,isi*,taisiin,kaa mme,kaa,koot,e*,koon,takoon,eminen*,emista*,semme,sette,sevat,sen,set,see
67=,la,la,en*,et*,ee*,emme*,ette*,evat*,e*,la,laan,lut,imme*,itte*,ivat*,in*,it*,i*,tu,tiin,laksemme,laksenne,lakseni,laksesi,lakseen/llaksensa,taman,lessa,len,taessa,ematta*,emalla*,emasta*,emaan*,emassa*,eman*,ematta*,emalla*,emista*,emasta*,eman*,emaan*,emassa*,ema*,lut,lut,tu,evat*,eva*,tava,emaisillaan*/emaisillansa*,emaisillamme*,emaisillanne*,emaisillani*,emaisillasi*,isi*,isimme*,isitte*,isivat*,isin*,isit*,isi*,taisiin,kaamme,kaa,koot,e*,koon,takoon,eminen*,emista*,lemme,lette,levat,len,let,lee
68=,da,da,n/tsen,t/tset,/tsee,mme/tsemme,tsette/tte,tsevat/vat,/tse,da,daan,nut,mme/tsimme,tsitte/tte,tsivat/vat,n/tsin,t/tsit,/tsi,tu,tiin,daksemme,daksenne,dakseni,daksesi,dakseen/daksensa,taman,dessa,den,taessa,matta/tsematta,malla/tsemalla,masta/tsemasta,maan/tsemaan,massa/tsemassa,man/tseman,matta,malla,mista,masta,man,maan,massa,ma,nut,dut,tu,vat,va,tava,maisillaan/maisillansa/tsemaisillaan/tsemaisillansa,maisillamme/tsemaisillamme,maisillanne/tsemaisillanne,maisillani/tsemaisillani,maisillasi/tsemaisillasi,si/tsisi,simme/tsisimme,sitte/tsisitte,sivat/tsisivat,sin/tsisin,sit/tsisit,si/tsisi,taisiin,kaamme,kaa,koot,/tse,koon,takoon,minen,mista,nemme,nette,nevat,nen,net,nee
69=,ta,ta,tsen,tset,tsee,tsemme,tsette,tsevat,tse,ta,taan,nnut,tsimme,tsitte,tsivat,tsin,tsit,tsi,ttu,ttiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,ttaman,tessa,ten,ttaessa,tsematta,tsemalla,tsemasta,tsemaan,tsemassa,tseman,tsematta,tsemalla,tsemista,tsemasta,tseman,tsemaan,tsemassa,tsema,nnut,tut,ttu,tsevat,tseva,ttava,tsemaisillaan/tsemaisillansa,tsemaisillamme,tsemaisillanne,tsemaisillani,tsemaisillasi,tsisi,tsisimme,tsisitte,tsisivat,tsisin,tsisit,tsisi,ttaisiin,tkaamme,tkaa,tkoot,tse,tkoon,ttakoon,tseminen,tsemista,nnemme,nnette,nnevat,nnen,nnet,nnee
70=,sta,sta,ksen,kset,ksee,ksemme,ksette,ksevat,kse,sta,staan,ssut,ksimme,ksitte,ksivat,ksin,ksit,ksi,stu,stiin,staksemme,staksenne,stakseni,staksesi,stakseen/staksensa,staman,stessa,sten,staessa,ksematta,ksemalla,ksemasta,ksemaan,ksemassa,kseman,ksematta,ksemalla,ksemista,ksemasta,kseman,ksemaan,ksemassa,ksema,ssut,stut,stu,ksevat,kseva,stava,ksemaisillaan/ksemaisillansa,ksemaisillamme,ksemaisillanne,ksemaisillani,ksemaisillasi,ksisi,ksisimme,ksisitte,ksisivat,ksisin,ksisit,ksisi,staisiin,skaamme,skaa,skoot,kse,skoon,stakoon,kseminen,ksemista,ssemme,ssette,ssevat,ssen,sset,ssee
71=,hda,hda,en,et,kee,emme,ette,kevat,e,hda,hdaan,hnut,imme,itte,kivat,in,it,ki,htu,htiin,hdaksemme,hdaksenne,hdakseni,hdaksesi,hdakseen/hdaksensa,htaman,hdessa,hden,htaessa,kematta,kemalla,kemasta,kemaan,kemassa,keman,kematta,kemalla,kemista,kemasta,keman,kemaan,kemassa,kema,hnut,hdut,htu,kevat,keva,htava,kemaisillansa/kemaisillaan,kemaisillamme,kemaisillanne,kemaisillani,kemaisillasi,kisi,kisimme,kisitte,kisivat,kisin,kisit,kisi,htaisiin,hkaamme,hkaa,hkoot,e,hkoon,htakoon,keminen,kemista,hnemme,hnette,hnevat,hnen,hnet,hnee
72=,ta,ta,nen*,net*,nee*,nemme*,nette*,nevat*,ne*,ta,taan,nnut,nimme*,nitte*,nivat*,nin*,nit*,ni*,ttu,ttiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,ttaman,tessa,ten,ttaessa,nematta*,nemalla*,nemasta*,nemaan*,nemassa*,neman*,nematta*,nemalla*,nemista*,nemasta*,neman*,nemaan*,nemassa*,nema*,nnut,tut,ttu,nevat*,neva*,ttava,nemaisillansa*/nemaisillaan*,nemaisillamme*,nemaisillanne*,nemaisillani*,nemaisillasi*,nisi*,nisimme*,nisitte*,nisivat*,nisin*,nisit*,nisi*,ttaisiin,tkaamme,tkaa,tkoot,ne*,tkoon,ttakoon,neminen*,nemista*,nnemme,nnette,nnevat,nnen,nnet,nnee
73=,ta,ta,an*,at*,a*,amme*,atte*,avat*,a*,ta,taan,nnut,simme*,sitte*,sivat*,sin*,sit*,si*,ttu,ttiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,ttaman,tessa,ten,ttaessa,amatta*,amalla*,amasta*,amaan*,amassa*,aman*,amatta*,amalla*,amista*,amasta*,aman*,amaan*,amassa*,ama*,nnut,tut,ttu,avat*,ava*,ttava,amaisillaan*/amaisillansa*,amaisillamme*,amaisillanne*,amaisillani*,amaisillasi*,isi*,isimme*,isitte*,isivat*,isin*,isit*,isi*,ttaisiin,tkaamme,tkaa,tkoot,a*,tkoon,ttakoon,aminen*,amista*,nnemme,nnette,nnevat,nnen,nnet,nnee
74=,ta,ta,an*,at*,aa*,amme*,atte*,avat*,a*,ta,taan,nnut,simme*,sitte*,sivat*,sin*,sit*,si*,ttu,ttiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,ttaman,tessa,ten,ttaessa,amatta*,amalla*,amasta*,amaan*,amassa*,aman*,amatta*,amalla*,amista*,amasta*,aman*,amaan*,amassa*,ama*,nnut,tut,ttu,avat*,ava*,ttava,amaisillaan*/amaisillansa*,amaisillamme*,amaisillanne*,amaisillani*,amaisillasi*,aisi*/aisi*,aisimme*/isimme*,aisitte*/isitte*,aisivat*/isivat*,aisin*/isin*,aisit*/isit*,aisi*/isi*,ttaisiin,tkaamme,tkaa,tkoot,a*,tkoon,ttakoon,aminen*,amista*,nnemme,nnette,nnevat,nnen,nnet,nnee
75=,ta,ta,an*,at*,aa*,amme*,atte*,avat*,a*,ta,taan,nnut,simme*,sitte*,sivat*,sin*,sit*,si*,ttu,ttiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,ttaman,tessa,ten,ttaessa,amatta*,amalla*,amasta*,amaan*,amassa*,aman*,amatta*,amalla*,amista*,amasta*,aman*,amaan*,amassa*,ama*,nnut,tut,ttu,avat*,ava*,ttava,amaisillansa*/amaisillaan*,amaisillamme*,amaisillanne*,amaisillani*,amaisillasi*,aisi*,aisimme*,aisitte*,aisivat*,aisin*,aisit*,aisi*,ttaisiin,tkaamme,tkaa,tkoot,a*,tkoon,ttakoon,aminen*,amista*,nnemme,nnette,nnevat,nnen,nnet,nnee
76=,aa,aa,an*,at*,aa,amme*,atte*,avat,a*,eta*,etaan*,-nnut/anut,-simme,-sitte,-sivat,-sin,-sit,-si,ettu*,ettiin*,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,ettaman*,aessa,aen,ettaessa*,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,-nnut/anut,etut*,ettu*,avat,ava,ettava*,amaisillaan/amaisillansa,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,ettaisiin*,akaamme,akaa,akoot,a*,akoon,ettakoon*,aminen,amista,-nnemme/-tanemme,-nnette/anette,-nnevat/anevat,-nnen/anen,-nnet/anet,-nnee/anee
77=,aa,aa,#Sg1+?,#Sg2+?,aa,#Pl1+?,#Pl2+?,avat,#ConNeg+?,#ConNeg+?,#Pe4+?,#ConNeg+?,#Pl1+?,#Pl2+?,ivat,#Sg1+?,#Sg2+?,i,#ConNeg+?,#Pe4+?,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,#Ins+?,#Sg+?,#Ins+?,#Ine+?,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,#Sg+?,#Pl+?,#Sg+?,avat,ava,#Sg+?,amaisillansa/amaisillaan,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,#Pe4+?,#Pl1+?,#Pl2+?,#Pl3+?,#Sg2+?,#Sg3+?,#Pe4+?,aminen,amista,#Pl1+?,#Pl2+?,#Pl3+?,#Sg1+?,#Sg2+?,#Sg3+?
78=,aa,aa,#Sg1+?,#Sg2+?,aa,#Pl1+?,#Pl2+?,avat,#ConNeg+?,#ConNeg+?,#Pe4+?,#ConNeg+?,#Pl1+?,#Pl2+?,#Pl3+?,#Sg1+?,#Sg2+?,#Sg3+?,#ConNeg+?,#Pe4+?,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,#Ins+?,#Sg+?,#Ins+?,#Ine+?,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,#Sg+?,#Pl+?,#Sg+?,avat,ava,#Sg+?,amaisillaan/amaisillansa,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,#Pe4+?,#Pl1+?,#Pl2+?,#Pl3+?,#Sg2+?,#Sg3+?,#Pe4+?,aminen,amista,#Pl1+?,#Pl2+?,#Pl3+?,#Sg1+?,#Sg2+?,#Sg3+?
99=,ta,ta,en,et,ee,emme,ette,evat,e,ta,taan,sut,imme,itte,ivat,in,it,i,tu,tiin,taksemme,taksenne,takseni,taksesi,takseen/taksensa,taman,tessa,ten,taessa,ematta,emalla,emasta,emaan,emassa,eman,ematta,emalla,emista,emasta,eman,emaan,emassa,ema,sut,tut,tu,evat,eva,tava,emaisillaan/emaisillansa,emaisillamme,emaisillanne,emaisillani,emaisillasi,isi,isimme,isitte,isivat,isin,isit,isi,taisiin,kaamme,kaa,koot,e,koon,takoon,eminen,emista,semme,sette,sevat,sen,set,see

